rank,drug_a,drug_b,priority_score,p_empirical,q_value,permutation_z,signed_reversal,reversal_efficiency,reversal_gain_over_best_single,counter_therapeutic,gene_coverage,pathway_coverage,axis_coverage,target_complementarity,compartment_complementarity,cns_reach,regimen_compatibility,network_separation,proximity_z_a,proximity_z_b,complementary_exposure,evidence_score,uncertainty,safety_union,safety_overlap,worst_risk_domain,same_mechanism,shared_safety_class,redundant_targets,excluded_from_primary_ranking,pareto_optimal
473,Minocycline,Mitoxantrone,1.1829,0.00249,0.00837,2.5721,0.0647,0.3923,0.0153,0.0,0.1649,0.7,0.6,0.8462,1.0,0.7,0.5533,-0.2778,-3.6179,-3.0195,False,0.3333,0.4,0.5559,0.0118,malignancy,False,False,False,False,False
474,Cholecalciferol,Elezanumab,1.1828,0.00249,0.00837,3.6852,0.0484,0.3082,0.0199,0.0,0.1572,0.3,0.8,1.0,0.75,0.55,0.6867,0.2262,-2.0037,-2.7183,True,0.3333,0.6,0.0098,0.0,infection,False,False,False,False,True
475,Azathioprine,Ibudilast,1.1826,0.00499,0.01301,2.6077,0.0577,0.3328,0.0174,0.0,0.1733,0.5,0.6,1.0,1.0,0.7,1.0,0.0,-1.9886,-4.4103,False,0.3333,0.45,0.3449,0.0218,infection,False,False,False,False,False
476,Evobrutinib,Ibudilast,1.1826,0.02494,0.03925,1.6984,0.0574,0.4298,0.0171,0.0,0.1335,0.4,0.6,0.8333,0.75,0.7,1.0,-0.2111,-2.076,-4.4103,False,0.3333,0.425,0.1604,0.021,hepatic,False,False,False,False,False
477,Frexalimab,Riluzole,1.1814,0.07232,0.08491,1.3993,0.0534,0.3834,0.0181,0.0,0.1393,0.3,0.4,1.0,1.0,0.65,0.6867,0.3125,-2.5456,-2.6115,True,0.3333,0.45,0.1471,0.0,infection,False,False,False,False,False
478,Inebilizumab,Methylprednisolone,1.1814,0.00249,0.00837,2.5756,0.0906,0.4462,0.0349,0.0,0.2031,0.4,0.2,1.0,0.5,0.6,0.3733,0.1214,-2.8083,-3.1022,True,0.3333,0.325,0.2284,0.0588,infection,False,False,False,False,False
479,Ibudilast,Orelabrutinib,1.1808,0.02494,0.03925,1.7447,0.0576,0.4533,0.0174,0.0,0.1271,0.4,0.6,0.7273,0.75,0.7,1.0,-0.4667,-4.4103,-2.8405,False,0.3333,0.45,0.1439,0.0169,infection,False,False,False,False,False
480,Memantine,Natalizumab,1.1803,0.03741,0.05212,1.6364,0.0539,0.3885,0.0135,0.0,0.1387,0.3,0.4,1.0,1.0,0.75,0.82,0.1875,-2.6276,-3.0541,True,0.3333,0.375,0.2118,0.0,infection,False,False,False,False,False
481,Bexarotene,Ofatumumab,1.1799,0.00249,0.00837,2.8938,0.0681,0.4758,0.028,0.0009,0.1431,0.3,0.4,1.0,0.5,0.55,0.82,0.7946,-0.7904,-2.3838,True,0.3333,0.375,0.2784,0.0,infection,False,False,False,False,False
482,Bexarotene,Diroximel fumarate,1.1796,0.00249,0.00837,4.2439,0.0586,0.3785,0.028,0.0009,0.1549,0.5,0.6,1.0,0.5,0.55,0.8667,0.6429,-0.7904,-1.9273,True,0.3333,0.425,0.237,0.012,teratogenicity,False,False,False,False,False
483,Dimethyl fumarate,Peginterferon beta-1a,1.1794,0.00249,0.00837,2.5569,0.0615,0.3899,0.0252,0.003,0.1577,0.4,0.4,0.8667,0.5,0.55,0.6867,-0.254,-2.3075,-2.577,False,1.0,0.275,0.1805,0.0303,infection,False,False,False,False,True
484,Elezanumab,Glatiramer acetate,1.1793,0.00249,0.00837,3.7268,0.0558,0.3367,0.0273,0.0,0.1658,0.4,0.6,0.9286,1.0,0.2,0.6867,0.0,-2.7183,-3.0334,False,0.3333,0.475,0.0284,0.001,infection,False,False,False,False,True
485,Frexalimab,Oxcarbazepine,1.1791,0.01496,0.02705,1.9071,0.0452,0.3807,0.0099,0.0,0.1189,0.3,0.4,1.0,1.0,0.7,0.6867,0.7708,-2.5456,-0.3516,True,0.3333,0.5,0.1647,0.0,infection,False,False,False,False,False
486,Elezanumab,Natalizumab-biosimilar,1.179,0.00499,0.01301,2.9037,0.0572,0.3847,0.0285,0.0,0.1487,0.4,0.6,1.0,1.0,0.2,0.64,0.2143,-2.7183,-3.1195,True,0.3333,0.45,0.1775,0.0088,infection,False,False,False,False,False
487,Siponimod,Temelimab,1.1786,0.00499,0.01301,2.1706,0.0635,0.4235,0.025,0.0,0.1499,0.6,0.8,0.6154,0.5,0.65,0.82,-0.5125,-2.5366,-2.4721,False,0.3333,0.425,0.249,0.0078,infection,False,False,False,False,False
488,Dimethyl fumarate,Inebilizumab,1.1785,0.00499,0.01301,2.6642,0.0712,0.4566,0.0349,0.0,0.1559,0.4,0.4,1.0,0.5,0.55,0.5533,0.3492,-2.3075,-2.8083,True,0.3333,0.3,0.2343,0.0471,infection,False,False,False,False,False
